transaction_id,sender_id,receiver_id,amount,timestamp,is_fraud,is_mule,sender_city,receiver_city,sender_lat,sender_lon,receiver_lat,receiver_lon
TX_NORM_000194,ACC_NORM_103,ACC_NORM_141,534.64,2026-05-01T00:53:00Z,0,0,Frankfurt,Hong Kong,50.10402394221079,8.782133301145572,22.38713451920531,114.07359741606442
TX_NORM_000063,ACC_NORM_138,ACC_NORM_135,260.76,2026-05-01T01:14:00Z,0,0,Hong Kong,Sydney,21.88256715027695,114.32993032368113,-33.97039809813667,150.83685569705744
TX_CYC_000707,ACC_CYC_23,ACC_CYC_21,9165.09,2026-05-01T03:25:00Z,1,0,Toronto,New York,43.58787626926274,-79.20244424961263,40.90334317596064,-74.21181533713333
TX_NORM_000056,ACC_NORM_040,ACC_NORM_117,332.16,2026-05-01T07:05:00Z,0,0,Dubai,London,25.198089339772523,55.517532197592615,51.067436377724015,-0.25857710642609233
TX_CYC_000694,ACC_CYC_19,ACC_CYC_20,9794.41,2026-05-01T11:28:00Z,1,0,London,Mumbai,51.49163131393392,0.027600570462441604,19.389818069206846,72.92658513660356
TX_NORM_000210,ACC_NORM_037,ACC_NORM_168,614.18,2026-05-01T12:06:00Z,0,0,New York,Hong Kong,40.28972136139516,-73.5085309004217,22.295839424352135,113.72252731117638
TX_NORM_000236,ACC_NORM_097,ACC_NORM_123,94.97,2026-05-01T12:52:00Z,0,0,London,Singapore,51.2590997377889,-0.3683737272880111,1.4819622123621545,104.02315412442707
TX_NORM_000552,ACC_NORM_086,ACC_NORM_090,733.56,2026-05-01T13:20:00Z,0,0,Toronto,Singapore,43.399790068347,-79.46463431391867,1.3019548190637917,104.14055328363997
TX_NORM_000081,ACC_NORM_150,ACC_NORM_056,571.42,2026-05-01T15:42:00Z,0,0,New York,Tokyo,40.8378336877689,-74.11772507899454,35.52415653851457,139.55094463055804
TX_NORM_000572,ACC_NORM_153,ACC_NORM_014,565.39,2026-05-01T16:47:00Z,0,0,Tokyo,Tokyo,35.78330639803908,139.22701900482642,35.550462021055125,140.0529478396461
TX_NORM_000136,ACC_NORM_167,ACC_NORM_135,343.35,2026-05-01T17:05:00Z,0,0,New York,Sydney,40.408348224880264,-73.79793104062414,-33.80844996518574,151.57497963683
TX_NORM_000128,ACC_NORM_192,ACC_NORM_018,519.93,2026-05-01T20:20:00Z,0,0,Toronto,Toronto,43.2601723675809,-79.31115756596316,44.085044575777765,-79.64795882953618
TX_NORM_000434,ACC_NORM_117,ACC_NORM_065,800.47,2026-05-01T20:31:00Z,0,0,London,Tokyo,51.31205799575125,-0.4378848395886493,35.44721482545242,139.89392188227
TX_NORM_000051,ACC_NORM_064,ACC_NORM_142,422.98,2026-05-02T01:04:00Z,0,0,Frankfurt,Sydney,50.559723462394565,8.908649876580904,-34.34896466638624,151.10356832366895
TX_NORM_000382,ACC_NORM_079,ACC_NORM_142,75.22,2026-05-02T05:52:00Z,0,0,London,Sydney,51.33961721531163,-0.4054368060237311,-34.2475625107833,151.0274273096187
TX_NORM_000313,ACC_NORM_045,ACC_NORM_078,662.7,2026-05-02T06:54:00Z,0,0,Dubai,New York,25.397179187874688,55.330884101544214,41.080168583974135,-74.12321038515842
TX_NORM_000409,ACC_NORM_134,ACC_NORM_116,602.89,2026-05-02T09:31:00Z,0,0,Toronto,Frankfurt,43.95727646195738,-79.09830294470389,50.57401656091791,8.563665045082494
TX_NORM_000502,ACC_NORM_150,ACC_NORM_082,220.29,2026-05-02T10:28:00Z,0,0,New York,Mumbai,40.54234171627926,-73.59947349449494,18.774958110636874,72.92281878796828
TX_CYC_000717,ACC_CYC_21,ACC_CYC_22,9014.6,2026-05-02T11:28:00Z,1,0,New York,New York,40.54753622374696,-73.83413152403759,40.78869445747335,-73.84351243968747
TX_CYC_000704,ACC_CYC_20,ACC_CYC_18,10386.96,2026-05-02T11:54:00Z,1,0,Mumbai,Mumbai,19.391475470003005,72.88501485560683,19.225130951899576,72.85257141295574
TX_CYC_000645,ACC_CYC_09,ACC_CYC_10,10033.95,2026-05-02T15:49:00Z,1,0,Singapore,Frankfurt,1.7116084671008354,104.1652192442446,49.78543883572946,8.370326838077766
TX_CYC_000695,ACC_CYC_20,ACC_CYC_18,11623.43,2026-05-02T17:30:00Z,1,0,Mumbai,Mumbai,19.550225376504606,73.2183386945964,19.35630909809924,72.7622950576911
TX_NORM_000258,ACC_NORM_063,ACC_NORM_051,588.76,2026-05-02T20:31:00Z,0,0,Tokyo,London,35.325624471578266,140.0681947843421,51.36250903839089,0.29668204279160404
TX_NORM_000079,ACC_NORM_016,ACC_NORM_087,102.49,2026-05-02T21:57:00Z,0,0,Sydney,Hong Kong,-34.04813484462491,150.89043585780402,22.49249284014735,114.50936268672672
TX_NORM_000491,ACC_NORM_163,ACC_NORM_152,795.99,2026-05-02T22:39:00Z,0,0,Tokyo,Tokyo,36.13677892201612,139.2893030638127,35.67699374430436,139.34596729089373
TX_NORM_000443,ACC_NORM_179,ACC_NORM_075,482.18,2026-05-02T23:55:00Z,0,0,Frankfurt,New York,49.81175148870207,8.310044139696053,40.949326164762155,-73.50854395698953
TX_MULE_000914,ACC_MULE_003,ACC_MULE_OUT_015,9840.22,2026-05-03T02:37:00Z,1,0,London,Toronto,51.32158328119544,-0.36914814943979213,44.04283244913822,-79.21313391807713
TX_NORM_000000,ACC_NORM_163,ACC_NORM_028,599.34,2026-05-03T06:38:00Z,0,0,Tokyo,Sydney,36.15407462309479,140.00004386914247,-33.987729001587155,150.8435774481446
TX_NORM_000266,ACC_NORM_027,ACC_NORM_149,826.48,2026-05-03T08:05:00Z,0,0,Singapore,Singapore,1.8208252217466956,104.0827182183193,1.1386235765557893,103.39154599653773
TX_NORM_000356,ACC_NORM_154,ACC_NORM_064,496.3,2026-05-03T08:30:00Z,0,0,London,Frankfurt,51.29884815158005,-0.444731642987405,50.24261219048347,8.197807799375028
TX_LAYER_000791,ACC_LAYER_004_01,ACC_LAYER_004_02,41322.52,2026-05-03T08:36:00Z,1,0,Dubai,Frankfurt,25.47194476767211,55.475961369289934,49.75574833827807,8.903439232361977
TX_NORM_000246,ACC_NORM_144,ACC_NORM_170,405.01,2026-05-03T11:12:00Z,0,0,Tokyo,Frankfurt,35.680507312892104,139.5273324632051,49.77847553548053,8.668801336934617
TX_LAYER_000894,ACC_LAYER_014_04,ACC_LAYER_014_05,33634.66,2026-05-03T13:58:00Z,1,0,Sydney,Mumbai,-33.792920718375036,150.79859982201944,19.383717143957067,72.8144351157589
TX_NORM_000257,ACC_NORM_010,ACC_NORM_194,358.47,2026-05-03T19:47:00Z,0,0,London,Toronto,51.24982429678057,-0.27251660388016763,43.490588309998934,-78.89298235799241
